WinnerName,WinnerAge,winner_Height,winner_Weight,winner_Reach,winner_Stance,winner_DOB,WinningDate,title_bout
Henry Cejudo,32.0,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",2019-06-08,True
Valentina Shevchenko,31.0,"5' 5""",125 lbs.,"66""",Southpaw,"Mar 07, 1988",2019-06-08,True
Tony Ferguson,35.0,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",2019-06-08,False
Petr Yan,26.0,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993",2019-06-08,False
Blagoy Ivanov,32.0,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986",2019-06-08,False
Tatiana Suarez,28.0,"5' 5""",115 lbs.,"66""",,"Dec 19, 1990",2019-06-08,False
Aljamain Sterling,29.0,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989",2019-06-08,False
Alexa Grasso,25.0,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993",2019-06-08,False
Calvin Kattar,31.0,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",2019-06-08,False
Yan Xiaonan,29.0,"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989",2019-06-08,False
Darren Stewart,28.0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 30, 1990",2019-06-08,False
Katlyn Chookagian,30.0,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988",2019-06-08,False
Anthony Smith,30.0,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",2019-06-01,False
Aleksandar Rakic,27.0,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",2019-06-01,False
Makwan Amirkhani,30.0,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",2019-06-01,False
Christos Giagos,29.0,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",2019-06-01,False
Lina Lansberg,37.0,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982",2019-06-01,False
Leonardo Santos,39.0,"6' 0""",155 lbs.,"75""",Orthodox,"Feb 05, 1980",2019-06-01,False
Frank Camacho,30.0,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989",2019-06-01,False
Devin Clark,29.0,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",2019-06-01,False
Rafael Dos Anjos,34.0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",2019-05-18,False
Ian Heinisch,30.0,"5' 11""",185 lbs.,"72""",Orthodox,"Aug 05, 1988",2019-05-18,False
Charles Oliveira,29.0,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",2019-05-18,False
Aspen Ladd,24.0,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",2019-05-18,False
Grant Dawson,25.0,"5' 10""",145 lbs.,"72""",Switch,"Feb 20, 1994",2019-05-18,False
Ed Herman,38.0,"6' 1""",205 lbs.,"77""",Orthodox,"Oct 02, 1980",2019-05-18,False
Zak Cummings,34.0,"6' 0""",185 lbs.,"75""",Southpaw,"Aug 02, 1984",2019-05-18,False
Julio Arce,29.0,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",2019-05-18,False
Jessica Andrade,27.0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",2019-05-11,True
Jared Cannonier,35.0,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",2019-05-11,False
Alexander Volkanovski,30.0,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",2019-05-11,False
Laureano Staropoli,26.0,"6' 1""",170 lbs.,"71""",Orthodox,"Feb 27, 1993",2019-05-11,False
Irene Aldana,31.0,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",2019-05-11,False
Ryan Spann,27.0,"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991",2019-05-11,False
Thiago Moises,24.0,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2019-05-11,False
Warlley Alves,28.0,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",2019-05-11,False
Clay Guida,37.0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2019-05-11,False
Donald Cerrone,36.0,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",2019-05-04,False
Derek Brunson,35.0,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",2019-05-04,False
Shane Burgos,28.0,"5' 11""",145 lbs.,"75""",Orthodox,"Mar 19, 1991",2019-05-04,False
Merab Dvalishvili,28.0,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",2019-05-04,False
Macy Chiasson,27.0,"5' 11""",135 lbs.,"72""",,"Jul 27, 1991",2019-05-04,False
Vince Morales,28.0,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 12, 1990",2019-05-04,False
Matt Sayles,25.0,"5' 7""",145 lbs.,"68""",Orthodox,"Feb 21, 1994",2019-05-04,False
Arjan Bhullar,32.0,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",2019-05-04,False
Jack Hermansson,30.0,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",2019-04-27,False
Greg Hardy,30.0,"6' 5""",265 lbs.,"80""",Orthodox,"Jul 28, 1988",2019-04-27,False
Mike Perry,27.0,"5' 10""",170 lbs.,"71""",Orthodox,"Sep 15, 1991",2019-04-27,False
Glover Teixeira,39.0,"6' 2""",205 lbs.,"76""",Orthodox,"Oct 28, 1979",2019-04-27,False
Cory Sandhagen,27.0,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",2019-04-27,False
Augusto Sakai,27.0,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991",2019-04-27,False
Jim Miller,35.0,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2019-04-27,False
Angela Hill,34.0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",2019-04-27,False
Dhiego Lima,30.0,"6' 2""",170 lbs.,"74""",Orthodox,"Jan 31, 1989",2019-04-27,False
Alistair Overeem,38.0,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",2019-04-20,False
Sergei Pavlovich,26.0,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",2019-04-20,False
Roxanne Modafferi,36.0,"5' 7""",125 lbs.,"69""",,"Sep 24, 1982",2019-04-20,False
Sultan Aliev,34.0,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",2019-04-20,False
Shamil Abdurakhimov,37.0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2019-04-20,False
Michal Oleksiejczuk,24.0,"6' 0""",205 lbs.,"74""",Southpaw,"Feb 22, 1995",2019-04-20,False
Dustin Poirier,30.0,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",2019-04-13,True
Israel Adesanya,29.0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",2019-04-13,True
Khalil Rountree Jr.,29.0,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",2019-04-13,False
Dwight Grant,34.0,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984",2019-04-13,False
Nikita Krylov,27.0,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",2019-04-13,False
Matt Frevola,28.0,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",2019-04-13,False
Alexandre Pantoja,28.0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",2019-04-13,False
Belal Muhammad,30.0,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",2019-04-13,False
Montel Jackson,26.0,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992",2019-04-13,False
Poliana Botelho,30.0,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",2019-04-13,False
Justin Gaethje,30.0,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",2019-03-30,False
Jack Hermansson,30.0,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",2019-03-30,False
Josh Emmett,34.0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",2019-03-30,False
Michelle Waterson,33.0,"5' 3""",115 lbs.,"62""",Orthodox,"Jan 06, 1986",2019-03-30,False
Sodiq Yusuff,25.0,"5' 9""",145 lbs.,"71""",Orthodox,"May 19, 1993",2019-03-30,False
Marina Rodriguez,31.0,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",2019-03-30,False
Desmond Green,29.0,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989",2019-03-30,False
Kevin Aguilar,30.0,"5' 7""",145 lbs.,"73""",Orthodox,"Sep 07, 1988",2019-03-30,False
Kevin Holland,26.0,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",2019-03-30,False
Alex Perez,27.0,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 21, 1992",2019-03-30,False
Anthony Pettis,32.0,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 27, 1987",2019-03-23,False
Curtis Blaydes,28.0,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",2019-03-23,False
John Makdessi,33.0,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",2019-03-23,False
Jussier Formiga,33.0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",2019-03-23,False
Luis Pena,25.0,"6' 3""",155 lbs.,"75""",Southpaw,"Jul 05, 1993",2019-03-23,False
Maycee Barber,20.0,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",2019-03-23,False
Bryce Mitchell,24.0,"5' 10""",145 lbs.,,Southpaw,"Oct 04, 1994",2019-03-23,False
Marlon Vera,26.0,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",2019-03-23,False
Jennifer Maia,30.0,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",2019-03-23,False
Randa Markos,33.0,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",2019-03-23,False
Jorge Masvidal,34.0,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",2019-03-16,False
Leon Edwards,27.0,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2019-03-16,False
Dominick Reyes,29.0,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989",2019-03-16,False
Nathaniel Wood,25.0,"5' 6""",135 lbs.,"69""",Orthodox,"May 08, 1993",2019-03-16,False
Claudio Silva,36.0,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",2019-03-16,False
Jack Marshman,29.0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",2019-03-16,False
Arnold Allen,25.0,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",2019-03-16,False
Marc Diakiese,25.0,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",2019-03-16,False
Dan Ige,27.0,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",2019-03-16,False
Molly McCann,28.0,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",2019-03-16,False
Junior Dos Santos,35.0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",2019-03-09,False
Elizeu Zaleski dos Santos,32.0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",2019-03-09,False
Niko Price,29.0,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",2019-03-09,False
Blagoy Ivanov,32.0,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986",2019-03-09,False
Beneil Dariush,29.0,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",2019-03-09,False
Omari Akhmedov,31.0,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2019-03-09,False
